Company,Market Share (%),Annual Revenue (₹),Number of Installations,Pricing Model,Key Features,Regions with Highest Usage
Logic ERP,2.64,725000000,55906,One-time Purchase,Customer Loyalty,Rural Areas
Tally,9.91,457000000,5463,One-time Purchase,Mobile POS,Metropolitan Cities
Unicommerce,23.1,972000000,168045,Subscription,Integrated Payments,Tier 1 Cities
Pine Labs,15.03,435000000,79694,Subscription,Enterprise Solutions,Metropolitan Cities
Logic ERP,13.92,720000000,156723,Subscription,Mobile POS,Metropolitan Cities
Posiflex,7.45,618000000,73694,One-time Purchase,E-commerce Integration,Metropolitan Cities
Ezetap,9.84,127000000,25008,One-time Purchase,Analytics,Tier 2 Cities
Vend,22.49,243000000,75474,Subscription,E-commerce Integration,Tier 2 Cities
Retail Pro,17.0,334000000,43185,Subscription,Integrated Payments,Rural Areas
Logic ERP,19.9,576000000,92924,One-time Purchase,Inventory Management,Tier 1 Cities
Marg ERP,11.9,573000000,39980,One-time Purchase,Customer Loyalty,Metropolitan Cities
FusionResto,16.13,662000000,27504,Subscription,Analytics,Metropolitan Cities
Marg ERP,6.96,205000000,59970,One-time Purchase,Integrated Payments,Metropolitan Cities
Shopify POS,17.93,389000000,21766,Subscription,Mobile POS,Metropolitan Cities
RetailGraph,11.26,174000000,121944,Subscription,Customer Loyalty,Tier 2 Cities
RetailGraph,11.62,920000000,98922,Subscription,E-commerce Integration,Rural Areas
Mswipe,16.58,329000000,147767,One-time Purchase,Mobile POS,Nationwide
Razorpay,23.47,966000000,153868,One-time Purchase,Integrated Payments,Tier 1 Cities
Pine Labs,2.54,955000000,178615,One-time Purchase,Integrated Payments,Metropolitan Cities
Razorpay,20.79,671000000,150631,One-time Purchase,E-commerce Integration,Rural Areas
RetailGraph,8.02,895000000,169211,Subscription,Analytics,Nationwide
Ezetap,11.65,918000000,125494,One-time Purchase,E-commerce Integration,Rural Areas
RetailNext,1.53,707000000,13802,Subscription,Inventory Management,Tier 2 Cities
Marg ERP,8.23,777000000,176277,Subscription,Mobile POS,Nationwide
Vend,13.06,959000000,39159,Subscription,Analytics,Rural Areas
Shopify POS,2.35,723000000,16516,One-time Purchase,Customer Loyalty,Tier 2 Cities
FusionResto,12.79,177000000,55492,Subscription,Merchant Financing,Rural Areas
Pine Labs,23.25,363000000,34086,Subscription,Inventory Management,Rural Areas
Tally,3.53,381000000,118758,One-time Purchase,Analytics,Nationwide
RetailNext,19.35,199000000,35480,Subscription,Merchant Financing,Tier 2 Cities
Marg ERP,10.83,503000000,188163,One-time Purchase,Merchant Financing,Metropolitan Cities
Petpooja,16.72,85000000,133023,One-time Purchase,Mobile POS,Tier 1 Cities
Posiflex,7.25,734000000,115195,One-time Purchase,Integrated Payments,Nationwide
Mswipe,4.83,469000000,183838,Subscription,Customer Loyalty,Tier 2 Cities
Petpooja,4.85,71000000,43737,One-time Purchase,E-commerce Integration,Rural Areas
Gofrugal,2.69,255000000,14265,One-time Purchase,Mobile POS,Tier 2 Cities
Mswipe,5.46,688000000,119165,One-time Purchase,Inventory Management,Tier 1 Cities
RetailNext,16.94,897000000,124501,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Just Billing,22.16,405000000,75990,Subscription,Merchant Financing,Metropolitan Cities
Logic ERP,20.54,489000000,20386,One-time Purchase,Inventory Management,Metropolitan Cities
Gofrugal,17.44,778000000,109718,Subscription,Merchant Financing,Tier 1 Cities
Retail Pro,3.65,145000000,42425,One-time Purchase,Integrated Payments,Nationwide
RetailGraph,7.94,978000000,126635,Subscription,Enterprise Solutions,Nationwide
RetailNext,8.44,990000000,179326,One-time Purchase,Integrated Payments,Rural Areas
Petpooja,7.0,213000000,58634,Subscription,Customer Loyalty,Metropolitan Cities
Posiflex,13.36,197000000,183734,One-time Purchase,E-commerce Integration,Rural Areas
Paytm,13.85,579000000,91988,Subscription,Customer Loyalty,Metropolitan Cities
Shopify POS,9.57,343000000,111337,Subscription,Integrated Payments,Tier 1 Cities
SnapBizz,9.49,244000000,146215,Subscription,Integrated Payments,Nationwide
Mswipe,20.89,712000000,151653,One-time Purchase,Inventory Management,Nationwide
SnapBizz,19.94,529000000,72443,Subscription,Integrated Payments,Tier 1 Cities
Paytm,8.39,926000000,34424,Subscription,Enterprise Solutions,Rural Areas
Unicommerce,22.93,172000000,93844,Subscription,Enterprise Solutions,Rural Areas
Vend,23.87,449000000,46984,Subscription,Analytics,Tier 2 Cities
Mswipe,8.84,748000000,46505,One-time Purchase,Merchant Financing,Metropolitan Cities
FusionResto,9.51,501000000,107478,Subscription,Mobile POS,Rural Areas
Petpooja,13.14,710000000,67699,Subscription,Integrated Payments,Tier 1 Cities
Tally,23.59,153000000,163029,Subscription,Customer Loyalty,Rural Areas
Paytm,22.03,804000000,161536,One-time Purchase,E-commerce Integration,Nationwide
Just Billing,3.46,511000000,119012,Subscription,Merchant Financing,Metropolitan Cities
Pine Labs,10.43,792000000,159721,Subscription,Merchant Financing,Tier 2 Cities
Logic ERP,14.28,767000000,178137,Subscription,E-commerce Integration,Metropolitan Cities
Marg ERP,13.08,759000000,39758,Subscription,E-commerce Integration,Nationwide
Ezetap,5.65,445000000,141668,One-time Purchase,Merchant Financing,Nationwide
FusionResto,21.61,961000000,21374,Subscription,Analytics,Nationwide
SnapBizz,17.25,386000000,123686,Subscription,Customer Loyalty,Nationwide
Just Billing,21.11,648000000,8775,One-time Purchase,Analytics,Tier 1 Cities
RetailGraph,21.61,191000000,32388,One-time Purchase,Integrated Payments,Tier 2 Cities
Razorpay,18.96,366000000,128800,One-time Purchase,Mobile POS,Nationwide
Paytm,11.54,760000000,26029,Subscription,E-commerce Integration,Nationwide
Logic ERP,15.65,607000000,88981,One-time Purchase,Enterprise Solutions,Rural Areas
Petpooja,4.85,849000000,58639,Subscription,Customer Loyalty,Tier 2 Cities
SnapBizz,17.17,576000000,119010,One-time Purchase,E-commerce Integration,Metropolitan Cities
Tally,5.3,605000000,150717,Subscription,Analytics,Tier 2 Cities
Mswipe,17.65,450000000,36105,One-time Purchase,Inventory Management,Tier 2 Cities
Paytm,6.51,730000000,149740,Subscription,Integrated Payments,Tier 2 Cities
Paytm,3.82,359000000,152032,One-time Purchase,Mobile POS,Nationwide
Tally,4.97,544000000,131519,Subscription,Integrated Payments,Nationwide
Marg ERP,1.05,605000000,147429,Subscription,Inventory Management,Tier 1 Cities
Petpooja,18.25,659000000,107739,Subscription,Mobile POS,Metropolitan Cities
Vend,18.58,822000000,56796,Subscription,Inventory Management,Rural Areas
Just Billing,13.36,158000000,20804,Subscription,Integrated Payments,Tier 2 Cities
Unicommerce,4.87,844000000,132732,Subscription,Analytics,Metropolitan Cities
Razorpay,3.01,421000000,150698,Subscription,Merchant Financing,Metropolitan Cities
Pine Labs,1.46,904000000,164204,Subscription,Integrated Payments,Tier 1 Cities
Posiflex,4.98,665000000,12951,One-time Purchase,Integrated Payments,Rural Areas
Mswipe,22.38,817000000,142521,Subscription,Integrated Payments,Tier 2 Cities
Ezetap,6.8,940000000,24065,Subscription,Customer Loyalty,Rural Areas
Posiflex,9.5,255000000,106503,One-time Purchase,Inventory Management,Tier 1 Cities
Razorpay,3.53,896000000,110072,Subscription,Enterprise Solutions,Nationwide
Ezetap,6.34,92000000,145202,One-time Purchase,Inventory Management,Metropolitan Cities
Pine Labs,13.46,914000000,94360,Subscription,E-commerce Integration,Tier 2 Cities
Pine Labs,15.59,294000000,67287,One-time Purchase,Inventory Management,Nationwide
Marg ERP,6.89,336000000,187774,One-time Purchase,E-commerce Integration,Tier 1 Cities
Shopify POS,2.39,404000000,173065,Subscription,Customer Loyalty,Rural Areas
RetailNext,10.38,834000000,167947,One-time Purchase,Analytics,Metropolitan Cities
Gofrugal,6.62,525000000,142126,Subscription,E-commerce Integration,Tier 2 Cities
RetailGraph,6.27,132000000,112357,Subscription,Integrated Payments,Nationwide
Paytm,24.04,159000000,184589,Subscription,Analytics,Nationwide
Just Billing,15.79,999000000,34670,Subscription,Merchant Financing,Metropolitan Cities
Marg ERP,14.37,239000000,54112,One-time Purchase,Customer Loyalty,Rural Areas
Just Billing,10.98,849000000,93388,Subscription,Inventory Management,Tier 1 Cities
FusionResto,11.29,985000000,94156,One-time Purchase,E-commerce Integration,Rural Areas
FusionResto,13.98,958000000,164379,One-time Purchase,Enterprise Solutions,Rural Areas
SnapBizz,17.71,300000000,52922,Subscription,Integrated Payments,Rural Areas
Ezetap,17.85,773000000,199152,Subscription,Mobile POS,Metropolitan Cities
Vend,5.12,340000000,98348,Subscription,Merchant Financing,Metropolitan Cities
Mswipe,13.0,694000000,84335,Subscription,Mobile POS,Tier 1 Cities
Unicommerce,10.89,250000000,31312,One-time Purchase,Analytics,Rural Areas
Shopify POS,21.89,846000000,71985,Subscription,Inventory Management,Metropolitan Cities
Tally,16.15,375000000,135744,One-time Purchase,Enterprise Solutions,Tier 1 Cities
SnapBizz,13.78,560000000,193680,Subscription,Mobile POS,Tier 1 Cities
Pine Labs,3.77,458000000,105963,Subscription,Analytics,Rural Areas
Razorpay,15.54,656000000,176349,Subscription,Customer Loyalty,Tier 2 Cities
FusionResto,3.81,839000000,36551,Subscription,Analytics,Rural Areas
Logic ERP,9.09,990000000,94813,One-time Purchase,Merchant Financing,Tier 2 Cities
RetailGraph,4.43,886000000,192669,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Ezetap,17.61,557000000,106025,Subscription,Enterprise Solutions,Metropolitan Cities
Paytm,5.95,780000000,129342,One-time Purchase,Analytics,Nationwide
Just Billing,10.4,650000000,181284,One-time Purchase,Merchant Financing,Tier 1 Cities
Logic ERP,22.5,121000000,14637,Subscription,Analytics,Metropolitan Cities
Razorpay,5.9,296000000,48258,Subscription,Enterprise Solutions,Tier 1 Cities
Retail Pro,13.19,690000000,171765,One-time Purchase,Enterprise Solutions,Rural Areas
Just Billing,11.06,773000000,145896,One-time Purchase,Integrated Payments,Tier 2 Cities
Gofrugal,1.43,989000000,134553,One-time Purchase,Analytics,Tier 1 Cities
RetailNext,20.03,904000000,31950,One-time Purchase,E-commerce Integration,Metropolitan Cities
RetailGraph,2.66,657000000,159560,Subscription,Analytics,Rural Areas
SnapBizz,12.38,636000000,132870,Subscription,Enterprise Solutions,Nationwide
Marg ERP,14.46,984000000,5215,One-time Purchase,Integrated Payments,Rural Areas
Gofrugal,16.08,615000000,110603,Subscription,Integrated Payments,Tier 2 Cities
Ezetap,17.53,393000000,16523,One-time Purchase,Customer Loyalty,Rural Areas
Ezetap,7.08,974000000,73689,One-time Purchase,Merchant Financing,Nationwide
Gofrugal,1.24,103000000,28834,Subscription,Inventory Management,Metropolitan Cities
Ezetap,18.36,779000000,39474,One-time Purchase,Mobile POS,Tier 1 Cities
Paytm,13.86,577000000,48066,One-time Purchase,Mobile POS,Tier 2 Cities
SnapBizz,21.07,660000000,15400,Subscription,Analytics,Nationwide
Razorpay,20.71,581000000,130211,Subscription,Customer Loyalty,Tier 2 Cities
RetailGraph,21.24,607000000,15345,One-time Purchase,Analytics,Rural Areas
Petpooja,12.64,242000000,38896,One-time Purchase,Mobile POS,Tier 2 Cities
FusionResto,9.01,944000000,33899,Subscription,Merchant Financing,Nationwide
Logic ERP,20.0,107000000,33229,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Marg ERP,11.83,486000000,10583,One-time Purchase,Merchant Financing,Tier 1 Cities
Shopify POS,5.4,160000000,140969,Subscription,Merchant Financing,Tier 2 Cities
FusionResto,21.52,178000000,76537,Subscription,Integrated Payments,Metropolitan Cities
Logic ERP,22.18,898000000,140639,Subscription,Enterprise Solutions,Tier 2 Cities
Unicommerce,12.19,755000000,79807,Subscription,Inventory Management,Rural Areas
Razorpay,2.82,974000000,134648,Subscription,Enterprise Solutions,Tier 1 Cities
Ezetap,10.31,901000000,117652,Subscription,Customer Loyalty,Tier 1 Cities
Ezetap,20.28,375000000,149401,One-time Purchase,Integrated Payments,Tier 1 Cities
Petpooja,22.64,57000000,76792,One-time Purchase,Inventory Management,Metropolitan Cities
FusionResto,5.88,78000000,136300,Subscription,Customer Loyalty,Metropolitan Cities
Logic ERP,2.61,161000000,42052,Subscription,Customer Loyalty,Nationwide
Mswipe,22.06,996000000,193841,One-time Purchase,Mobile POS,Tier 2 Cities
Logic ERP,10.35,722000000,51032,One-time Purchase,Integrated Payments,Tier 2 Cities
RetailNext,14.0,180000000,38686,One-time Purchase,Customer Loyalty,Rural Areas
Paytm,24.23,237000000,81981,Subscription,E-commerce Integration,Tier 1 Cities
Gofrugal,2.6,724000000,103802,Subscription,Merchant Financing,Metropolitan Cities
Mswipe,16.56,758000000,199333,One-time Purchase,Customer Loyalty,Rural Areas
Logic ERP,2.78,524000000,138881,Subscription,Inventory Management,Rural Areas
RetailNext,10.01,413000000,177857,Subscription,Mobile POS,Metropolitan Cities
FusionResto,20.29,253000000,172619,Subscription,Analytics,Tier 2 Cities
Retail Pro,11.4,261000000,47818,One-time Purchase,Merchant Financing,Tier 1 Cities
Tally,24.93,670000000,105422,One-time Purchase,Mobile POS,Tier 2 Cities
Tally,14.42,325000000,76927,Subscription,Analytics,Rural Areas
Just Billing,8.71,122000000,84465,Subscription,Integrated Payments,Tier 1 Cities
Posiflex,6.28,728000000,118221,Subscription,Integrated Payments,Nationwide
Razorpay,9.41,821000000,42333,Subscription,Customer Loyalty,Rural Areas
RetailNext,9.94,292000000,131457,Subscription,E-commerce Integration,Tier 2 Cities
Pine Labs,2.65,836000000,21576,One-time Purchase,Integrated Payments,Tier 2 Cities
Paytm,9.87,151000000,124875,Subscription,Enterprise Solutions,Tier 2 Cities
Logic ERP,12.14,734000000,44405,Subscription,Customer Loyalty,Metropolitan Cities
Marg ERP,18.35,220000000,99000,Subscription,Merchant Financing,Rural Areas
Mswipe,16.76,702000000,36601,One-time Purchase,Mobile POS,Tier 1 Cities
Just Billing,18.01,958000000,72946,One-time Purchase,Integrated Payments,Tier 2 Cities
Razorpay,1.2,237000000,57116,Subscription,Enterprise Solutions,Tier 2 Cities
RetailNext,6.22,490000000,109186,One-time Purchase,Mobile POS,Metropolitan Cities
FusionResto,16.88,135000000,67894,One-time Purchase,Mobile POS,Tier 1 Cities
Paytm,12.62,525000000,170707,One-time Purchase,E-commerce Integration,Rural Areas
RetailGraph,1.13,101000000,12465,One-time Purchase,Integrated Payments,Nationwide
Vend,20.31,160000000,61754,One-time Purchase,Mobile POS,Metropolitan Cities
RetailNext,19.55,998000000,97850,One-time Purchase,E-commerce Integration,Rural Areas
Ezetap,14.16,926000000,114765,Subscription,E-commerce Integration,Nationwide
Posiflex,2.6,903000000,97691,One-time Purchase,Integrated Payments,Tier 2 Cities
Vend,19.4,92000000,43871,One-time Purchase,E-commerce Integration,Tier 2 Cities
Ezetap,15.01,260000000,198946,Subscription,Integrated Payments,Tier 1 Cities
FusionResto,19.77,249000000,34511,Subscription,Enterprise Solutions,Nationwide
Ezetap,19.04,859000000,85960,Subscription,Integrated Payments,Tier 2 Cities
Razorpay,20.27,907000000,184893,Subscription,Analytics,Tier 2 Cities
RetailNext,13.43,801000000,70776,One-time Purchase,Mobile POS,Tier 1 Cities
Mswipe,4.37,676000000,49462,One-time Purchase,Enterprise Solutions,Rural Areas
Just Billing,17.11,75000000,197454,One-time Purchase,Inventory Management,Tier 2 Cities
Logic ERP,15.89,968000000,37574,One-time Purchase,Integrated Payments,Metropolitan Cities
Marg ERP,18.81,348000000,107072,Subscription,Mobile POS,Metropolitan Cities
Tally,5.08,126000000,177982,One-time Purchase,Merchant Financing,Rural Areas
Just Billing,5.68,973000000,161258,One-time Purchase,E-commerce Integration,Nationwide
Posiflex,22.37,186000000,158885,Subscription,Customer Loyalty,Tier 1 Cities
Ezetap,19.0,69000000,83282,One-time Purchase,Integrated Payments,Metropolitan Cities
FusionResto,22.8,489000000,114779,One-time Purchase,E-commerce Integration,Metropolitan Cities
Shopify POS,19.21,260000000,23557,One-time Purchase,E-commerce Integration,Rural Areas
Petpooja,15.33,801000000,164132,One-time Purchase,E-commerce Integration,Nationwide
Retail Pro,16.7,600000000,194938,Subscription,E-commerce Integration,Nationwide
Tally,22.34,484000000,77104,Subscription,E-commerce Integration,Rural Areas
SnapBizz,14.89,829000000,142152,Subscription,Integrated Payments,Metropolitan Cities
FusionResto,16.18,256000000,149926,Subscription,Merchant Financing,Tier 1 Cities
RetailNext,4.76,488000000,127013,Subscription,Inventory Management,Metropolitan Cities
RetailNext,12.37,828000000,163097,One-time Purchase,Analytics,Nationwide
Unicommerce,18.19,715000000,189054,One-time Purchase,E-commerce Integration,Metropolitan Cities
Tally,7.5,91000000,46081,Subscription,E-commerce Integration,Tier 1 Cities
Tally,5.85,460000000,140440,Subscription,Analytics,Tier 2 Cities
Shopify POS,8.53,572000000,124181,Subscription,Merchant Financing,Metropolitan Cities
SnapBizz,6.8,855000000,32094,One-time Purchase,Enterprise Solutions,Rural Areas
Razorpay,6.16,659000000,182112,Subscription,Merchant Financing,Tier 2 Cities
SnapBizz,11.2,476000000,71766,One-time Purchase,Enterprise Solutions,Rural Areas
Just Billing,22.79,324000000,88053,One-time Purchase,Integrated Payments,Rural Areas
Pine Labs,13.17,497000000,160063,One-time Purchase,Mobile POS,Rural Areas
Marg ERP,5.51,951000000,6301,One-time Purchase,Customer Loyalty,Metropolitan Cities
Just Billing,2.85,991000000,164682,Subscription,Customer Loyalty,Nationwide
RetailNext,17.71,933000000,86463,One-time Purchase,Mobile POS,Tier 2 Cities
RetailGraph,10.19,791000000,170750,One-time Purchase,Integrated Payments,Tier 1 Cities
FusionResto,20.72,418000000,29466,Subscription,Customer Loyalty,Nationwide
RetailNext,16.83,987000000,176947,One-time Purchase,Merchant Financing,Metropolitan Cities
Retail Pro,20.11,269000000,31081,One-time Purchase,Analytics,Rural Areas
RetailGraph,7.53,626000000,29354,One-time Purchase,Mobile POS,Tier 1 Cities
RetailNext,17.62,916000000,98297,Subscription,Merchant Financing,Tier 2 Cities
Marg ERP,7.34,281000000,23300,One-time Purchase,Inventory Management,Nationwide
Marg ERP,23.54,377000000,69384,One-time Purchase,Integrated Payments,Nationwide
Razorpay,16.27,492000000,100027,Subscription,Mobile POS,Tier 1 Cities
Posiflex,8.79,101000000,126684,Subscription,Customer Loyalty,Metropolitan Cities
Logic ERP,7.47,935000000,65892,One-time Purchase,Integrated Payments,Tier 2 Cities
Paytm,5.58,992000000,40525,One-time Purchase,Analytics,Tier 1 Cities
Unicommerce,17.67,425000000,162604,Subscription,Integrated Payments,Rural Areas
Petpooja,6.25,312000000,11464,One-time Purchase,Integrated Payments,Tier 2 Cities
Vend,15.29,316000000,21562,Subscription,Analytics,Nationwide
Shopify POS,7.35,408000000,112392,One-time Purchase,E-commerce Integration,Tier 1 Cities
Logic ERP,16.89,366000000,60514,Subscription,Analytics,Nationwide
FusionResto,20.56,373000000,118428,One-time Purchase,Merchant Financing,Nationwide
FusionResto,19.67,970000000,117564,Subscription,Integrated Payments,Nationwide
FusionResto,19.26,957000000,113047,Subscription,Enterprise Solutions,Metropolitan Cities
Pine Labs,5.51,715000000,37634,Subscription,Analytics,Nationwide
Vend,3.12,919000000,5060,Subscription,E-commerce Integration,Rural Areas
RetailNext,17.77,927000000,14269,Subscription,Merchant Financing,Rural Areas
SnapBizz,9.84,701000000,199215,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Paytm,11.38,988000000,28065,One-time Purchase,Enterprise Solutions,Nationwide
Ezetap,1.75,612000000,7895,Subscription,Mobile POS,Nationwide
Logic ERP,7.23,678000000,85859,One-time Purchase,Analytics,Tier 1 Cities
Marg ERP,1.81,470000000,148424,One-time Purchase,Analytics,Metropolitan Cities
Retail Pro,22.1,95000000,185809,One-time Purchase,Integrated Payments,Tier 2 Cities
Unicommerce,6.84,870000000,109127,One-time Purchase,Merchant Financing,Nationwide
RetailGraph,14.38,649000000,101426,One-time Purchase,Mobile POS,Tier 1 Cities
Just Billing,1.94,769000000,168088,One-time Purchase,Inventory Management,Metropolitan Cities
Paytm,17.0,938000000,197376,Subscription,Inventory Management,Tier 2 Cities
Gofrugal,8.75,318000000,16962,One-time Purchase,Customer Loyalty,Tier 2 Cities
Gofrugal,22.55,650000000,38302,One-time Purchase,Analytics,Nationwide
Unicommerce,22.31,430000000,90382,One-time Purchase,Analytics,Tier 2 Cities
Tally,8.81,167000000,9011,Subscription,Mobile POS,Tier 1 Cities
Mswipe,22.62,615000000,134716,One-time Purchase,E-commerce Integration,Tier 2 Cities
Petpooja,24.91,165000000,24782,One-time Purchase,Inventory Management,Rural Areas
Paytm,20.81,679000000,125654,One-time Purchase,Customer Loyalty,Tier 1 Cities
Marg ERP,21.28,309000000,175797,Subscription,Mobile POS,Metropolitan Cities
Paytm,6.98,124000000,14196,One-time Purchase,Analytics,Metropolitan Cities
RetailNext,14.84,529000000,48459,Subscription,Inventory Management,Nationwide
RetailGraph,2.61,354000000,92245,One-time Purchase,Merchant Financing,Nationwide
Vend,3.28,56000000,83863,Subscription,Customer Loyalty,Rural Areas
FusionResto,24.97,415000000,128206,Subscription,Integrated Payments,Metropolitan Cities
Vend,8.84,683000000,106010,Subscription,Inventory Management,Metropolitan Cities
Posiflex,18.96,572000000,37769,One-time Purchase,Customer Loyalty,Metropolitan Cities
Posiflex,20.36,397000000,112529,Subscription,Mobile POS,Metropolitan Cities
Paytm,21.59,487000000,29700,Subscription,Integrated Payments,Tier 2 Cities
Pine Labs,24.94,264000000,10269,Subscription,Customer Loyalty,Tier 1 Cities
Razorpay,6.8,478000000,126631,Subscription,Customer Loyalty,Tier 1 Cities
